properties{
  x = 0,
  y = 0,
  width = 600,
  height = 600,
  min_layer = 0,
  max_layer = 2,
  tileset = "out/outside_buildings",
  music = "village",
}

tile{
  layer = 0,
  x = 488,
  y = 64,
  width = 48,
  height = 8,
  pattern = "2203",
  tileset = "out/outside_main",
}

tile{
  layer = 0,
  x = 440,
  y = 64,
  width = 48,
  height = 8,
  pattern = "2203",
  tileset = "out/outside_main",
}

tile{
  layer = 0,
  x = 440,
  y = 56,
  width = 88,
  height = 48,
  pattern = "12664",
  tileset = "out/outside_special",
}

tile{
  layer = 0,
  x = 440,
  y = 480,
  width = 144,
  height = 64,
  pattern = "907",
  tileset = "out/outside_main",
}

tile{
  layer = 0,
  x = 408,
  y = 368,
  width = 32,
  height = 32,
  pattern = "907",
  tileset = "out/outside_main",
}

tile{
  layer = 0,
  x = 376,
  y = 240,
  width = 96,
  height = 128,
  pattern = "907",
  tileset = "out/outside_main",
}

tile{
  layer = 0,
  x = 248,
  y = 248,
  width = 80,
  height = 48,
  pattern = "12626",
  tileset = "out/outside_special",
}

tile{
  layer = 0,
  x = 264,
  y = 152,
  width = 8,
  height = 24,
  pattern = "6000",
}

tile{
  layer = 0,
  x = 216,
  y = 152,
  width = 48,
  height = 8,
  pattern = "1",
  tileset = "out/outside_buildings",
}

tile{
  layer = 0,
  x = 216,
  y = 176,
  width = 16,
  height = 8,
  pattern = "6157",
}

tile{
  layer = 0,
  x = 264,
  y = 128,
  width = 16,
  height = 16,
  pattern = "6139",
}

tile{
  layer = 0,
  x = 264,
  y = 112,
  width = 16,
  height = 16,
  pattern = "6138",
}

tile{
  layer = 0,
  x = 296,
  y = 128,
  width = 16,
  height = 16,
  pattern = "6142",
}

tile{
  layer = 0,
  x = 296,
  y = 112,
  width = 16,
  height = 16,
  pattern = "6141",
}

tile{
  layer = 0,
  x = 296,
  y = 160,
  width = 16,
  height = 16,
  pattern = "6138",
}

tile{
  layer = 0,
  x = 296,
  y = 176,
  width = 16,
  height = 16,
  pattern = "6139",
}

tile{
  layer = 0,
  x = 264,
  y = 160,
  width = 16,
  height = 16,
  pattern = "6141",
}

tile{
  layer = 0,
  x = 264,
  y = 176,
  width = 16,
  height = 16,
  pattern = "6142",
}

tile{
  layer = 0,
  x = 312,
  y = 128,
  width = 16,
  height = 16,
  pattern = "6139",
}

tile{
  layer = 0,
  x = 312,
  y = 112,
  width = 16,
  height = 16,
  pattern = "6138",
}

tile{
  layer = 0,
  x = 344,
  y = 128,
  width = 16,
  height = 16,
  pattern = "6142",
}

tile{
  layer = 0,
  x = 344,
  y = 112,
  width = 16,
  height = 16,
  pattern = "6141",
}

tile{
  layer = 0,
  x = 344,
  y = 160,
  width = 16,
  height = 16,
  pattern = "6138",
}

tile{
  layer = 0,
  x = 344,
  y = 176,
  width = 16,
  height = 16,
  pattern = "6139",
}

tile{
  layer = 0,
  x = 312,
  y = 160,
  width = 16,
  height = 16,
  pattern = "6141",
}

tile{
  layer = 0,
  x = 312,
  y = 176,
  width = 16,
  height = 16,
  pattern = "6142",
}

tile{
  layer = 0,
  x = 208,
  y = 128,
  width = 64,
  height = 24,
  pattern = "12691",
  tileset = "out/outside_special",
}

tile{
  layer = 0,
  x = 256,
  y = 136,
  width = 16,
  height = 16,
  pattern = "5994",
}

tile{
  layer = 0,
  x = 208,
  y = 152,
  width = 8,
  height = 24,
  pattern = "5996",
}

tile{
  layer = 0,
  x = 208,
  y = 136,
  width = 16,
  height = 16,
  pattern = "5995",
}

tile{
  layer = 0,
  x = 280,
  y = 120,
  width = 16,
  height = 8,
  pattern = "12711",
  tileset = "out/outside_special",
}

tile{
  layer = 0,
  x = 328,
  y = 120,
  width = 16,
  height = 8,
  pattern = "12711",
  tileset = "out/outside_special",
}

tile{
  layer = 0,
  x = 280,
  y = 176,
  width = 16,
  height = 8,
  pattern = "12711",
  tileset = "out/outside_special",
}

tile{
  layer = 0,
  x = 328,
  y = 176,
  width = 16,
  height = 8,
  pattern = "12711",
  tileset = "out/outside_special",
}

tile{
  layer = 0,
  x = 232,
  y = 160,
  width = 16,
  height = 16,
  pattern = "6008",
}

tile{
  layer = 0,
  x = 320,
  y = 288,
  width = 8,
  height = 24,
  pattern = "6000",
}

tile{
  layer = 0,
  x = 248,
  y = 288,
  width = 8,
  height = 24,
  pattern = "5996",
}

tile{
  layer = 0,
  x = 248,
  y = 272,
  width = 16,
  height = 16,
  pattern = "5995",
}

tile{
  layer = 0,
  x = 312,
  y = 272,
  width = 16,
  height = 16,
  pattern = "5994",
}

tile{
  layer = 0,
  x = 272,
  y = 296,
  width = 16,
  height = 16,
  pattern = "6008",
}

tile{
  layer = 0,
  x = 256,
  y = 296,
  width = 16,
  height = 16,
  pattern = "5999",
}

tile{
  layer = 0,
  x = 288,
  y = 296,
  width = 16,
  height = 16,
  pattern = "5999",
}

tile{
  layer = 0,
  x = 248,
  y = 160,
  width = 16,
  height = 16,
  pattern = "5999",
}

tile{
  layer = 0,
  x = 304,
  y = 288,
  width = 16,
  height = 8,
  pattern = "1",
}

tile{
  layer = 0,
  x = 304,
  y = 296,
  width = 16,
  height = 16,
  pattern = "5999",
}

tile{
  layer = 0,
  x = 288,
  y = 296,
  width = 24,
  height = 16,
  pattern = "5998",
}

tile{
  layer = 0,
  x = 272,
  y = 272,
  width = 16,
  height = 8,
  pattern = "6014",
}

tile{
  layer = 0,
  x = 264,
  y = 280,
  width = 8,
  height = 8,
  pattern = "6016",
}

tile{
  layer = 0,
  x = 272,
  y = 280,
  width = 16,
  height = 8,
  pattern = "6017",
}

tile{
  layer = 0,
  x = 264,
  y = 272,
  width = 8,
  height = 8,
  pattern = "6015",
}

tile{
  layer = 0,
  x = 288,
  y = 272,
  width = 8,
  height = 8,
  pattern = "6013",
}

tile{
  layer = 0,
  x = 288,
  y = 280,
  width = 8,
  height = 8,
  pattern = "6012",
}

tile{
  layer = 0,
  x = 248,
  y = 256,
  width = 8,
  height = 16,
  pattern = "5982",
}

tile{
  layer = 0,
  x = 320,
  y = 256,
  width = 8,
  height = 16,
  pattern = "5981",
}

tile{
  layer = 0,
  x = 256,
  y = 312,
  width = 16,
